trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",25,19,12.07460021581383,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.029199522301288815}",30,8,38.92596984775682,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.12884449429552486}",20,0,-65.44962879696043,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.2272020946930871}",20,0,-77.81657442469933,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.3232895668635036}",25,7,-9.30068369663755,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.1, 'e': 0.4161468365471424}",30,0,-114.41525880563714,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.5048461045998575}",25,0,14.025600906343673,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.5885011172553458}",20,0,-56.15779142803947,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.6662760212798243}",20,0,-103.67288856091191,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.7373937155412458}",30,0,-60.31637355180419,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.8011436155469337}",30,0,-83.90011056079653,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.8568887533689473}",20,0,-64.84208040553001,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.9040721420170612}",25,1,-34.20177734060474,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.9422223406686583}",25,2,-207.92739608051292,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 3}",1
29,False,"{'a': 0.1, 'e': 0.9709581651495907}",20,0,-167.98531563519964,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.1, 'e': 0.9899924966004454}",20,0,-139.49195925253312,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.9991351502732795}",30,0,-281.54569259670245,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 5}",0
32,False,"{'a': 0.1, 'e': 0.9982947757947531}",20,0,-123.64662157213851,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.1, 'e': 0.9874797699088649}",35,0,-171.96523033336874,"{0: 18, 1: 4, 2: 11, 3: 1, 4: 1}",0
34,False,"{'a': 0.1, 'e': 0.9667981925794609}",20,6,-64.93818994548018,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
35,False,"{'a': 0.1, 'e': 0.9364566872907963}",20,0,-120.95085523489551,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
36,False,"{'a': 0.1, 'e': 0.896758416334147}",35,0,-112.2734782844719,"{0: 23, 1: 2, 2: 9, 3: 0, 4: 1}",0
37,False,"{'a': 0.1, 'e': 0.848100031710408}",30,0,-120.26923017442957,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
38,False,"{'a': 0.1, 'e': 0.7909677119144165}",20,0,-50.97680106767691,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
39,False,"{'a': 0.1, 'e': 0.7259323042001399}",20,0,-68.84434929816334,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.6536436208636119}",30,6,-23.300959595152847,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.5748239465332685}",25,0,-111.6688386706864,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
42,False,"{'a': 0.1, 'e': 0.4902608213406995}",20,0,-52.88526685370134,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.1, 'e': 0.40079917207997545}",25,11,-48.23169598025102,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.1, 'e': 0.30733286997841935}",30,6,-11.730559268742416,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.21079579943077972}",20,0,-13.18308676956185,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.11215252693505398}",20,8,18.92448581432594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.01238866346289056}",30,15,26.39018149787267,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.08749898343944729}",20,10,16.050127302930836,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.18651236942257574}",20,4,23.637803316153796,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.2836621854632263}",25,14,-52.73293670345209,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 1}",1
51,False,"{'a': 0.1, 'e': 0.37797774271298107}",25,17,-43.05450608150667,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.1, 'e': 0.4685166713003771}",20,5,-39.70757523217007,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.1, 'e': 0.5543743361791615}",20,0,-128.38600678918934,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",1
54,False,"{'a': 0.1, 'e': 0.6346928759426346}",20,0,-46.08546948831872,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.1, 'e': 0.70866977429126}",20,10,-2.8159394584837267,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.7755658785102502}",30,17,-15.71326247977805,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.8347127848391598}",20,0,-96.07896199326561,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.8855195169413194}",25,0,-74.83327827135578,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.1, 'e': 0.9274784307440359}",20,0,-143.0298132626336,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.9601702866503661}",30,0,-95.61211340824828,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.9832684384425847}",20,0,-139.83127642257193,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.1, 'e': 0.9965420970232175}",25,0,-52.92494711422194,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.1, 'e': 0.9998586363834151}",20,0,-91.13934419276781,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
64,False,"{'a': 0.1, 'e': 0.9931849187581926}",30,0,-138.7609824411413,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
65,False,"{'a': 0.1, 'e': 0.9765876257280235}",20,0,-71.89533225814412,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.9502325919585293}",20,11,15.183865987231625,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.9143831482353193}",25,0,-93.71231165758158,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.1, 'e': 0.8693974903498248}",20,0,-51.90610208282215,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.1, 'e': 0.8157251001253568}",25,0,-74.28166305714504,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.1, 'e': 0.7539022543433046}",20,0,-137.25405217769568,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
71,False,"{'a': 0.1, 'e': 0.6845466664428059}",20,6,-31.55118157418508,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
72,False,"{'a': 0.1, 'e': 0.6083513145322546}",35,0,-156.1429578006186,"{0: 23, 1: 5, 2: 3, 3: 1, 4: 3}",0
73,False,"{'a': 0.1, 'e': 0.5260775173811046}",25,0,-96.5639808670211,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.1, 'e': 0.43854732757439036}",25,0,-96.39035343841753,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
75,False,"{'a': 0.1, 'e': 0.3466353178350258}",25,13,-51.332736058720435,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.1, 'e': 0.25125984258225487}",35,7,-18.062126515735493,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.1, 'e': 0.15337386203786435}",20,2,32.121416653965355,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.05395542056264886}",25,11,10.976908105670224,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.04600212563953695}",25,9,29.353747863727868,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.14550003380861354}",20,7,13.066526050929404,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.2435441537357911}",20,5,28.142309726008214,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.3391548609838362}",20,0,-54.82256809821175,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
83,False,"{'a': 0.1, 'e': 0.4313768449706208}",35,26,17.314900054925438,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.5192886541166856}",20,8,8.101317960203252,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
